                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7031,                 3.7812,                 2.1005,                  0.676,                   0.25,                0.17307,                0.08093,                 2.3373,                 3.4806,                 1.6798,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                  2.233,                 2.6048,                 1.7457,                0.48641,                 0.3722,                0.32675,                0.16383,                 2.3603,                 2.8517,                   1.58,             0.00015446,             0.00015446,             0.00015446
                      3,                 1.9689,                 2.1709,                  1.589,                0.39692,                0.41722,                0.45989,                0.24462,                 2.2792,                 5.1571,                 1.5537,             0.00022525,             0.00022525,             0.00022525
                      4,                 1.8251,                  1.851,                  1.488,                0.27276,                0.58768,                0.46817,                0.24801,                 2.2323,                  3.055,                 1.5474,             0.00028738,             0.00028738,             0.00028738
                      5,                 1.7397,                 1.7219,                 1.4773,                0.40254,                0.64199,                0.61835,                  0.289,                 2.0654,                 2.7278,                 1.4955,             0.00034085,             0.00034085,             0.00034085
                      6,                 1.6859,                 1.5666,                 1.3933,                0.68503,                0.57646,                0.63946,                0.31313,                 1.8987,                 2.1647,                  1.475,             0.00038566,             0.00038566,             0.00038566
                      7,                 1.6874,                 1.5577,                 1.4023,                0.52581,                0.64502,                0.70227,                0.38757,                 1.8869,                 2.1103,                 1.5528,              0.0004218,              0.0004218,              0.0004218
                      8,                 1.6236,                 1.4652,                 1.3776,                0.40918,                 0.8875,                0.68836,                0.36009,                 1.8586,                 2.5934,                 1.4878,             0.00044928,             0.00044928,             0.00044928
                      9,                  1.529,                 1.3296,                 1.3347,                0.48961,                0.69243,                0.65201,                0.33769,                 1.8637,                 1.9847,                 1.5083,              0.0004681,              0.0004681,              0.0004681
                     10,                 1.5305,                 1.2854,                 1.3155,                0.54581,                0.69841,                0.70337,                0.35565,                  1.961,                 1.8106,                 1.5554,             0.00047826,             0.00047826,             0.00047826
                     11,                 1.4737,                 1.1937,                 1.3507,                0.59921,                0.66448,                0.68214,                0.35348,                 1.8721,                 1.4925,                 1.4928,             0.00047975,             0.00047975,             0.00047975
                     12,                 1.4773,                 1.1587,                  1.341,                0.60186,                0.67646,                0.72408,                0.34744,                 1.9043,                 1.5377,                 1.5924,             0.00047258,             0.00047258,             0.00047258
                     13,                 1.3791,                 1.0374,                 1.3186,                 0.7274,                0.73842,                0.79034,                0.35145,                 1.9217,                 1.4813,                 1.6295,             0.00045675,             0.00045675,             0.00045675
                     14,                 1.3366,                 1.0002,                 1.2811,                0.79866,                 0.8158,                0.88251,                0.36541,                 2.0278,                 1.3644,                 1.6464,             0.00043226,             0.00043226,             0.00043226
                     15,                 1.3258,                0.98155,                 1.2429,                0.74555,                0.75541,                0.77088,                0.37865,                  2.001,                 1.3399,                 1.6333,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.3046,                 0.9227,                 1.2559,                0.81161,                0.72768,                0.84998,                0.40486,                 1.9706,                 1.2295,                 1.5997,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.2863,                0.91109,                 1.2506,                0.82378,                0.82055,                0.89823,                0.40787,                 1.9831,                 1.2136,                  1.587,                0.00026,                0.00026,                0.00026
                     18,                 1.2683,                0.85132,                 1.2255,                0.76456,                0.83089,                0.85535,                0.42052,                 1.9831,                  1.209,                 1.5748,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.2057,                 0.8168,                 1.1904,                0.81281,                0.74274,                0.82467,                 0.3977,                      2,                 1.2319,                 1.5931,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.1806,                0.83068,                 1.1606,                  0.805,                0.75149,                0.81564,                0.40232,                 2.0094,                 1.2188,                 1.6089,             7.4375e-05,             7.4375e-05,             7.4375e-05
