                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.47,                  5.424,                 2.5055,                0.00172,                0.41667,                0.00518,                0.00155,                  3.157,                   4.82,                  2.355,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 3.3664,                 5.0254,                 2.3417,                0.00473,                0.33333,                0.01083,                0.00262,                 3.1557,                 3.8017,                 2.3516,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      3,                 2.6868,                 3.5818,                 2.1092,                0.20382,                0.08333,                0.08752,                0.00982,                 3.1355,                 3.8362,                 2.3984,              0.0001228,              0.0001228,              0.0001228
                      4,                 2.6528,                 2.9107,                 2.0869,                0.14863,                    0.5,                  0.187,                0.04286,                 2.9386,                 10.494,                 2.2279,             0.00016159,             0.00016159,             0.00016159
                      5,                 2.2932,                 2.5139,                 1.7488,                0.14159,                0.16667,                 0.1452,                0.03341,                 2.7395,                 8.9563,                 2.0438,             0.00019641,             0.00019641,             0.00019641
                      6,                 2.3101,                 2.1526,                 1.7012,                0.17731,                    0.5,                0.21287,                0.03277,                 2.5325,                 5.8614,                 1.8897,             0.00022728,             0.00022728,             0.00022728
                      7,                  1.926,                  2.204,                 1.5206,                0.64223,                0.79035,                0.75733,                0.13137,                 2.3436,                 4.5171,                 1.7676,             0.00025418,             0.00025418,             0.00025418
                      8,                 1.8907,                 1.6973,                 1.4365,                 0.4693,                0.83333,                0.64677,                0.23698,                 2.2969,                 3.4129,                 1.7489,             0.00027713,             0.00027713,             0.00027713
                      9,                 1.8826,                 1.7306,                 1.4851,                0.64968,                0.36518,                0.51203,                0.22682,                 2.4167,                 3.2687,                 1.8811,             0.00029611,             0.00029611,             0.00029611
                     10,                 1.7852,                 1.6923,                  1.421,                0.42954,                0.82317,                0.61036,                0.21748,                  2.425,                 3.8871,                 2.0158,             0.00031114,             0.00031114,             0.00031114
                     11,                 1.8128,                 1.3831,                    1.4,                0.53453,                0.85698,                0.71896,                0.19862,                  2.394,                 3.6699,                 2.1044,              0.0003222,              0.0003222,              0.0003222
                     12,                 1.7152,                 1.4369,                 1.4321,                0.43152,                0.64988,                0.57493,                0.18819,                  2.452,                 2.9092,                 2.1404,              0.0003293,              0.0003293,              0.0003293
                     13,                 1.7847,                 1.2815,                 1.3406,                0.48148,                0.66397,                0.47427,                0.21521,                 2.1987,                 2.8414,                 1.9508,             0.00033244,             0.00033244,             0.00033244
                     14,                  1.446,                 1.1836,                 1.3891,                0.43339,                0.68467,                0.71821,                0.31716,                 2.1983,                 3.0719,                 1.8625,             0.00033162,             0.00033162,             0.00033162
                     15,                 1.3529,                 1.2062,                 1.2419,                  0.796,                      1,                0.93333,                0.50576,                 2.1189,                 2.3111,                 1.9057,             0.00032684,             0.00032684,             0.00032684
                     16,                 1.3821,                 1.0247,                  1.351,                0.70627,                0.98732,                 0.8056,                0.41752,                 2.0778,                 1.6174,                 1.9074,              0.0003181,              0.0003181,              0.0003181
                     17,                 1.6015,                 1.1752,                 1.3918,                0.48041,                      1,                0.77092,                0.36938,                  1.985,                 1.7155,                 1.7869,             0.00030539,             0.00030539,             0.00030539
                     18,                 1.2227,                0.98596,                 1.2557,                0.61469,                      1,                  0.885,                0.49703,                 1.9598,                 1.5827,                 1.8203,             0.00028873,             0.00028873,             0.00028873
                     19,                 1.3376,                0.95258,                 1.3155,                0.83149,                0.63852,                0.83583,                0.48551,                 2.0826,                 1.4846,                 1.9102,             0.00026811,             0.00026811,             0.00026811
                     20,                  1.356,                0.94175,                 1.2431,                0.86071,                0.61441,                0.82143,                0.43889,                 2.1384,                 1.3969,                 2.0114,             0.00024352,             0.00024352,             0.00024352
                     21,                 1.2359,                0.83276,                 1.2094,                0.52199,                      1,                0.80375,                0.43034,                 2.1083,                 1.3336,                 1.9652,             0.00021498,             0.00021498,             0.00021498
                     22,                 1.3111,                0.81358,                 1.3075,                0.59448,                0.85982,                0.85667,                0.44632,                 2.0621,                 1.2276,                 1.8931,             0.00018247,             0.00018247,             0.00018247
                     23,                 1.0741,                0.73177,                 1.1602,                0.72752,                   0.75,                0.85667,                0.45181,                 2.0535,                  1.203,                  1.873,               0.000146,               0.000146,               0.000146
                     24,                  1.135,                0.82554,                 1.1423,                0.67787,                 0.9991,                0.87042,                0.44471,                 2.0899,                 1.1246,                 1.8902,             0.00010557,             0.00010557,             0.00010557
                     25,                 1.1402,                0.77841,                  1.186,                0.67458,                0.97243,                 0.8775,                0.40258,                 2.0918,                 1.0749,                 1.9042,             6.1186e-05,             6.1186e-05,             6.1186e-05
